"","site_no","station_nm","dec_lat_va","dec_long_va"
"1","15072000","FISH C NR KETCHIKAN AK",55.3916038,-131.1955833
"2","15258000","KENAI R AT COOPER LANDING AK",60.49219269,-149.8099203
"3","15276000","SHIP C NR ANCHORAGE AK",61.22500619,-149.6372008
"4","15290000","L SUSITNA R NR PALMER AK",61.7097433,-149.231938
"5","15292000","SUSITNA R AT GOLD CREEK AK",62.7672899,-149.6933794
"6","15302000","NUYAKUK R NR DILLINGHAM AK",59.93483,-158.1900062
"7","15304000","KUSKOKWIM R AT CROOKED CREEK AK",61.8687445,-158.1137848
"8","15356000","YUKON R AT EAGLE AK",64.789168,-141.2000892
"9","15484000","SALCHA R NR SALCHAKET AK",64.47152778,-146.9280556
"10","15514000","CHENA R AT FAIRBANKS AK",64.8454026,-147.703536
